title,creators,collection,tags,call_number,ddc,lcc,lendings
"Creator in You","Jordan Raynor, Jonathan David (Illustrator)",Philippines,"mak03 loan",,231.765,BT709.5,0
"Flying Scotsman and the Best Birthday Ever","Michael Morpurgo, Michael Foreman (Illustrator), the National Railway Museum York (Contribution by)",Philippines,"mak03 loan",,,,0
"Ultimate Book of Airplanes and Airports (The Ultimate Book of)","Sophie Bordet-Pétillon",Philippines,"mak03 loan",,629.13334,TL547,0
"Pied Piper of Hamelin",,Philippines,"mak03 loan",,398.2,PZ8.1.B112,0
"Ultimate Oceanpedia: The Most Complete Ocean Reference Ever (National Geographic Kids)","Christina Wilsdon",Philippines,"mak03 loan",,551.46,GC21.5.W57,0
"Adventures of Captain Underpants","Dav Pilkey",Philippines,"mak03 loan",,813.54,PZ7.P6314,0
"Fly Who Flew to Space (with Removable Glow-In-The-Dark Poster)","Lauren Sánchez, Raleigh Stewart (Illustrator)",Philippines,"mak03 loan",,,,0
"Disney the Art of Moana 2","Kalikolehua Hurley",Philippines,"mak03 loan",,791.4372,"NC1766.U53 M6624",0
"Diary of a Wimpy Kid: Book 18","Jeff Kinney",Philippines,"mak03 loan",,,,0
"Guinness World Records 2025",,Philippines,"mak03 loan",,,,0
"Art of Spirited Away","Hayao Miyazaki",Philippines,"mak03 loan",,791.4372,NC1766.J3,0
"Minecraft Mobspotter's Encyclopedia","Mojang Ab",Philippines,"mak03 loan",,,,0
"Captain Underpants and the Attack of the Talking Toilets: Color Edition","Dav Pilkey",Philippines,"mak03 loan",,808.0683,PZ73.P48,0
"Captain Underpants and the Attack of the Talking Toilets: Color Edition (Captain Underpants #2) (Color Edition)","Dav Pilkey (Illustrator)",Philippines,"mak03 loan",,,,0
"Diary of a Wimpy Kid: Book 17","Jeff Kinney",Philippines,"mak03 loan",,,"PZ7.K6232 Ds",0
"Dork Diaries 15: Tales from a Not-So-Posh Paris Adventure (15)","Rachel Renée Russell",Philippines,"mak03 loan",,741,,0
"Art of Wish",Disney,Philippines,"mak03 loan",,,,0
"I Am Amazing!","Alissa Holder, Zulekha Holder-Young, Nneka Myers (Illustrator)",Philippines,"mak03 loan",,,"PZ7.1.H64575 Iaac",0
"Nosotros Means Us","Paloma Valdivia",Philippines,"mak03 loan",,,PZ7.V35,0
Rewilding,"David A. Steen, Chiara Fedele (Illustrator), Neon Squid",Philippines,"mak03 loan",,333.72,QL83.4,0
"Destination Moon (The Adventures of Tintin)",Hergé,Philippines,"mak03 loan",,741.59493,PN6790.B43,0
"Pretty Ugly","David Sedaris, Ian Falconer (Illustrator)",Philippines,"mak03 loan",,,"PZ7.1.S33696 Pr",0
"Hot Mess (Diary of a Wimpy Kid Book 19): Volume 19","Jeff Kinney",Philippines,"mak03 loan",,,,0
"Marvel Comics Library. Spider-Man. Vol. 2. 1965-1966","Ross Jonathan, Ditko Steve (Illustrator), Lee Stan (Illustrator)",Philippines,"mak03 reference",,,,0
"Planet Ape","Desmond Morris, Steve Parker",Philippines,"mak03 reference",,599.88,QL737.P96,0
"Combing The Coral Carpet (Revised Edition) Sailing Tales &amp; the Cruising Guide to the Philippine Islands","Bruce Curran",Philippines,"mak03 reference",,,,0
"Art of Futurama","Matt Groening, David X. Cohen (Introduction by), Claudia Katz (Foreword by)",Philippines,"mak03 reference",,,,0
"Ripley's Believe It or Not! 2025",Ripley,Philippines,"mak03 reference",,,,0
"Avengers: Kree/Skrull War Gallery Edition","Roy Thomas, Sal Buscema (Artist), Neal Adams (Artist), John Buscema (Artist)",Philippines,"mak03 reference",,,,0
"JEPH LOEB and TIM SALE: CAPTAIN AMERICA GALLERY EDITION","Jeph Loeb, Tim Sale (Illustrator, Cover Design by)",Philippines,"mak03 reference",,,,0
"Ultimate Book of Space","Anne-Sophie Baumann, Olivier Latyck (Illustrator)",Philippines,"mak03 reference",,629.4,TL790,0
"George Herriman Library","George Herriman",Philippines,"mak03 reference",,741.56973,"PN6728.K7 H34",0
"Vegan Cuisine","Jean-Christian Jury",Philippines,"mak03 reference",,641.5636,TX837,0
"Samurai Swords - A Collector's Guide: A Comprehensive Introduction to History, Collecting and Preservation - of the Japanese Sword","Clive Sinclaire",Philippines,"mak03 reference",,,,0
"Dare to Lead","Brené Brown",Colombia,,,658.4092,HD57.7,0
1Q84,"Haruki Murakami",India,,,895.635,PL856.U673,0
